Code;Libellé;Date (M);Type;Types de notices(M);Usages (zones et sous zones) (M);Nom du référentiel;Nom_usage/web;Notes internes au document;Règle de contrôle;NORME Externe;Modalité de mise à jour;Valeur fixe;Responsable;Commentaire;CODE ou LISTE
te;Oeuvres et expressions textuelles;16/02/2016;;A;A 043 $a;A043za;;;;;;;;;CODE
ch;Oeuvres et expressions chorégraphiques;16/02/2016;;A;A 043 $a;A043za;;;;;;;;;CODE
ci;Oeuvres et expressions cinématographiques;16/02/2016;;A;A 043 $a;A043za;;;;;;;;;CODE
rt;Oeuvres et expressions radiophoniques et télévisuelles;16/02/2016;;A;A 043 $a;A043za;;;;;;;;;CODE
lo;Oeuvres et expressions logicielles ou multimedia;16/02/2016;;A;A 043 $a;A043za;;;;;;;;;CODE
ic;Oeuvres et expressions iconographiques;16/02/2016;;A;A 043 $a;A043za;;;;;;;;;CODE
ca;Oeuvres et expressions cartographiques;16/02/2016;;A;A 043 $a;A043za;;;;;;;;;CODE
pl;Oeuvres et expressions plastiques;16/02/2016;;A;A 043 $a;A043za;;;;;;;;;CODE
cs;Oeuvres et expressions de captation sonore;16/02/2016;;A;A 043 $a;A043za;;;;;;;;;CODE
mi;Oeuvres et expressions mixtes;16/02/2016;;A;A 043 $a;A043za;;;;;;;;;CODE
bd;Bande dessinée;12/07/2016;;A;A 043 $b;A043zb;;;;;;;;;CODE
de;Dessin;16/02/2016;;A;A 043 $b;A043zb;;;;;;;;;CODE
es;Estampe;16/02/2016;;A;A 043 $b;A043zb;;;;;;;;;CODE
jv;Jeu vidéo;16/02/2016;;A;A 043 $b;A043zb;;;;;;;;;CODE
ph;Photographie;16/02/2016;;A;A 043 $b;A043zb;;;;;;;;;CODE
sc;Sculpture;16/02/2016;;A;A 043 $b;A043zb;;;;;;;;;CODE
pe;Peinture;16/02/2016;;A;A 043 $b;A043zb;;;;;;;;;CODE
at;Tournage;28/03/2014;;A;A-599 $r;TypeDate;toto;;;;;;;;CODE
ec;Sortie en salle;28/03/2014;;A;A-599 $r;TypeDate;toto;;;;;;;;CODE
Agrovoc;Thésaurus de la FAO pour l’alimentation, la pêche et l’agriculture;11/07/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
AT;Classification Aarne-Thompson;11/07/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
BNCF;Thésaurus de la Bibliothèque nationale centrale de Florence, Nuovo Soggettario;11/07/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
CASRN;Chemical Abstracts Service Registry number;11/07/2016;;A;A 622 $v;A622zv;;;;;;;;;CODE
