Format	Zone	Sous-zone	Position(s)	Référentiel	Lignes	Type
A	WWW	$w	04	Ecriture	33	A
A	WWW	$w	0608	CodeLangue	1093	A
A	008		1213	CodePays	302	A
A	008		1416	CodeLangue	1093	A
A	008		1820	GenreMusical	859	A
A	008		1920	ComposMusic	135	A
A	008		2223	TypesCollec	91	A
A	008		24	Collectivites	12	A
A	008		2526	DomAdmin	44	A
A	040	$a		CodePays	302	A
A	041	$a		CodeLangue	1093	A
A	041	$t		CodeLangue	1093	A
A	041	$v		CodeLangue	1093	A
A	042	$d	0103	DegreLongitude	181	A
A	042	$d	0405	MinutesSecondes	60	A
A	042	$d	0607	MinutesSecondes	60	A
A	042	$e	0103	DegreLongitude	181	A
A	042	$e	0405	MinutesSecondes	60	A
A	042	$e	0607	MinutesSecondes	60	A
A	042	$f	0103	DegreLatitude	91	A
A	042	$f	0405	MinutesSecondes	60	A
A	042	$f	0607	MinutesSecondes	60	A
A	042	$g	0103	DegreLatitude	91	A
A	042	$g	0405	MinutesSecondes	60	A
A	042	$g	0607	MinutesSecondes	60	A
A	048	$a	0001	DistributionExecution	109	B
A	048	$b	0001	DistributionExecution	109	B
A	072	$a		CadreGeoActuel	832	A
A	621	$a		VMASubdivision	30	A
A	624	$a	0002	DomRegroup	64	A
A	628	$a		RegroupDewey	50	A
A	650	$a		A650za	8	C
A	690	$a		CodeProjetA	14	A
B	WWW	$w	04	Ecriture	33	A
B	WWW	$w	0608	CodeLangue	1093	A
B	004		0001	CodePays	302	A
B	008		2930	CodePays	302	A
B	008		3133	CodeLangue	1093	A
B	008		36	Periodicite	19	A
B	008		3738	CentresISSN	72	A
B	008		39	Ecriture	33	A
B	009c		1517	GenreMusical	859	A
B	009c		1516	ComposMusic	135	A
B	009h		2123	FormatFilm	10	A
B	010	$a		B010za	2	A
B	021	$p		CodePays	302	A
B	025	$p		CodePays	302	A
B	040	$a		CodePays	302	A
B	041	$a		CodeLangue	1093	A
B	041	$b		CodeLangue	1093	A
B	041	$c		CodeLangue	1093	A
B	041	$d		CodeLangue	1093	A
B	041	$e		CodeLangue	1093	A
